546815,133538,24871,4462,798,132,27,5,1
126483,64300,19477,4720,1050,213,38,17,2
23468,18888,8440,2890,843,224,58,13,4
4171,4762,2897,1294,428,126,35,15,3
718,1057,809,435,194,77,22,13,1
134,231,235,133,75,27,13,2,3
20,65,53,50,30,11,9,3,1
3,14,9,11,5,4,3,1,0
0,5,1,7,6,2,0,0,0
